chromosome	Source	Species
NZ_CP031221.1	wAlbB	Wolbachia
NC_006817.1	Mosquito_mtDNA	Mosquito
Unmapped_bin	Unmapped_bin	Unmapped_bin
MW147277.1	Virus_ssRNA	MW147277_Anphevirus
BK059423.1	Virus_ssRNA	BK059423_SanGabriel_mononegavirus
BK059489.1	Virus_ssRNA	BK059489_Tombus_like_seg1
BK059490.1	Virus_ssRNA	BK059490_Tombus_like_seg2
MK879803.1	Virus_ssRNA	MK879803_Aedes_albopictus_negev_like
NC_012932.1	Virus_ssRNA	NC_012932_Aedes_flavivirus__plus_ssRNA
NC_085136.1	Mosquito_gDNA	Mosquito
NC_085137.1	Mosquito_gDNA	Mosquito
NC_085138.1	Mosquito_gDNA	Mosquito
NW_026916371.1	Mosquito_gDNA	Mosquito
NW_026916372.1	Mosquito_gDNA	Mosquito
NW_026916373.1	Mosquito_gDNA	Mosquito
NW_026916374.1	Mosquito_gDNA	Mosquito
NW_026916375.1	Mosquito_gDNA	Mosquito
NW_026916378.1	Mosquito_gDNA	Mosquito
NW_026916379.1	Mosquito_gDNA	Mosquito
NW_026916380.1	Mosquito_gDNA	Mosquito
NW_026916381.1	Mosquito_gDNA	Mosquito
NW_026916382.1	Mosquito_gDNA	Mosquito
NW_026916383.1	Mosquito_gDNA	Mosquito
NW_026916385.1	Mosquito_gDNA	Mosquito
NW_026916390.1	Mosquito_gDNA	Mosquito
NW_026916391.1	Mosquito_gDNA	Mosquito
NW_026916392.1	Mosquito_gDNA	Mosquito
NW_026916394.1	Mosquito_gDNA	Mosquito
NW_026916396.1	Mosquito_gDNA	Mosquito
NW_026916398.1	Mosquito_gDNA	Mosquito
NW_026916400.1	Mosquito_gDNA	Mosquito
NW_026916402.1	Mosquito_gDNA	Mosquito
NW_026916404.1	Mosquito_gDNA	Mosquito
NW_026916405.1	Mosquito_gDNA	Mosquito
NW_026916408.1	Mosquito_gDNA	Mosquito
NW_026916411.1	Mosquito_gDNA	Mosquito
NW_026916416.1	Mosquito_gDNA	Mosquito
NW_026916423.1	Mosquito_gDNA	Mosquito
NW_026916427.1	Mosquito_gDNA	Mosquito
NW_026916429.1	Mosquito_gDNA	Mosquito
NW_026916431.1	Mosquito_gDNA	Mosquito
NW_026916432.1	Mosquito_gDNA	Mosquito
NW_026916434.1	Mosquito_gDNA	Mosquito
NW_026916438.1	Mosquito_gDNA	Mosquito
NW_026916439.1	Mosquito_gDNA	Mosquito
NW_026916441.1	Mosquito_gDNA	Mosquito
NW_026916443.1	Mosquito_gDNA	Mosquito
NW_026916445.1	Mosquito_gDNA	Mosquito
NW_026916449.1	Mosquito_gDNA	Mosquito
NW_026916458.1	Mosquito_gDNA	Mosquito
NW_026916459.1	Mosquito_gDNA	Mosquito
NW_026916460.1	Mosquito_gDNA	Mosquito
NW_026916468.1	Mosquito_gDNA	Mosquito
NW_026916471.1	Mosquito_gDNA	Mosquito
NW_026916479.1	Mosquito_gDNA	Mosquito
NW_026916482.1	Mosquito_gDNA	Mosquito
NW_026916483.1	Mosquito_gDNA	Mosquito
NW_026916486.1	Mosquito_gDNA	Mosquito
NW_026916488.1	Mosquito_gDNA	Mosquito
